fokontany,new_commune,old_commune,comm_fkt
AMPASIMPOTSY,MAROHARATRA,MAROHARATRA,MAROHARATRA_AMPASIMPOTSY
AMBODIVOASARY,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD_AMBODIVOASARY
AMBOATROTROKA,MAROTOKO,MAROTOKO,MAROTOKO_AMBOATROTROKA
MANDIAFASINA,MAROTOKO,MAROTOKO,MAROTOKO_MANDIAFASINA
AMBODIARA SUD,MAROTOKO,MAROTOKO,MAROTOKO_AMBODIARA SUD
MANAMPANDRANA,MAROTOKO,MAROTOKO,MAROTOKO_MANAMPANDRANA
AMBALAPAISO,FASINTSARA,FASINTSARA,FASINTSARA_AMBALAPAISO
ANALAVORY,ANALAMPASINA,ANALAMPASINA,ANALAMPASINA_ANALAVORY
ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA_ANDRORANGAVOLA
AMBATOFANOKONANA,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD_AMBATOFANOKONANA
AMBODIRAFIA,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD_AMBODIRAFIA
ANTANJONA,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD_ANTANJONA
FALIARIVO,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD_FALIARIVO
MANAKANA,MAROHARATRA,MAROHARATRA,MAROHARATRA_MANAKANA
ANDEMAKA NORD,AMBOHIMIERA,AMBOHIMIERA,AMBOHIMIERA_ANDEMAKA NORD
MANARINONY,AMBOHIMIERA,AMBOHIMIERA,AMBOHIMIERA_MANARINONY
ANTARAMBAKANA,AMBOHIMIERA,AMBOHIMIERA,AMBOHIMIERA_ANTARAMBAKANA
SAHALALONA,AMBOHIMIERA,AMBOHIMIERA,AMBOHIMIERA_SAHALALONA
ANDRORANGAVOLA,AMBOHIMIERA,AMBOHIMIERA,AMBOHIMIERA_ANDRORANGAVOLA
VOHIMENA,AMBOHIMIERA,AMBOHIMIERA,AMBOHIMIERA_VOHIMENA
KIANJANOMBY,MAROTOKO,MAROTOKO,MAROTOKO_KIANJANOMBY
SOANIERANA,MAROHARATRA,MAROHARATRA,MAROHARATRA_SOANIERANA
SAHAKONDRO,FASINTSARA,FASINTSARA,FASINTSARA_SAHAKONDRO
MANAKANA SUD,FASINTSARA,FASINTSARA,FASINTSARA_MANAKANA SUD
AMBODIARA SUD,FASINTSARA,FASINTSARA,FASINTSARA_AMBODIARA SUD
AMPASINAMBO,AMPASINAMBO,FASINTSARA,AMPASINAMBO_AMPASINAMBO
AMBODIVOANGY,FASINTSARA,FASINTSARA,FASINTSARA_AMBODIVOANGY
AMBINANISERY,FASINTSARA,FASINTSARA,FASINTSARA_AMBINANISERY
AMBODIRAFIA EST,TSARATANANA,TSARATANANA,TSARATANANA_AMBODIRAFIA EST
MALEMIAMBO,MAROHARATRA,MAROHARATRA,MAROHARATRA_MALEMIAMBO
AMBODIFONTSINA,ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA_AMBODIFONTSINA
AMBALATENINA,AMBIABE,ANDRORANGAVOLA,AMBIABE_AMBALATENINA
AMBALAFASINA,AMBIABE,ANDRORANGAVOLA,AMBIABE_AMBALAFASINA
MAHASOA,ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA_MAHASOA
AMBODIRORANGA,ANDRORANGAVOLA,ANDRORANGAVOLA,ANDRORANGAVOLA_AMBODIRORANGA
ANTAFOTENINA,IFANADIANA,IFANADIANA,IFANADIANA_ANTAFOTENINA
